City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Sao Filipe,CV,78.58,overcast clouds,14.8961,-24.4956,Hotel Xaguate
154,Locri,IT,77.56,scattered clouds,38.2414,16.2623,Grand Hotel President
168,Fort Collins,US,80.92,overcast clouds,40.5853,-105.0844,Best Western University Inn
171,Faanui,PF,79.97,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
184,Pozo Colorado,PY,83.68,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
186,Airai,TL,76.01,overcast clouds,-8.9266,125.4092,Juvinal Martin
192,Kendari,ID,82.96,overcast clouds,-3.945,122.4989,Hotel Wixel
193,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
195,Port-Gentil,GA,77.61,overcast clouds,-0.7193,8.7815,Fengshui Residence
197,Ambulu,ID,80.6,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
199,Camapua,BR,78.46,light rain,-19.5314,-54.0439,Comercial Estrela
202,Marsh Harbour,BS,80.08,clear sky,26.5412,-77.0636,Abaco Beach Resort
212,Totness,SR,79.56,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
213,Kuala Terengganu,MY,76.95,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
214,Dalbandin,PK,78.46,clear sky,28.8947,64.4101,Gidaan Guest House
218,Utinga,BR,77.4,scattered clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
231,Uthal,PK,83.26,few clouds,25.8072,66.6219,Al-Mustafa Hotel
232,Planeta Rica,CO,79.61,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
237,Phan Thiet,VN,80.89,scattered clouds,10.9333,108.1,Hotel Saigon-PT
248,Acarau,BR,79.07,few clouds,-2.8856,-40.12,castelo pizzaria
250,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
254,Bandarbeyla,SO,79.07,clear sky,9.4942,50.8122,JABIR HOTEL
257,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
264,Waingapu,ID,83.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
265,Cacoal,BR,78.55,scattered clouds,-11.4386,-61.4472,Hotel BR 364
272,Karambakkudi,IN,79.2,overcast clouds,10.4667,79.1333,Mathiyazhagan house
282,Maues,BR,76.37,heavy intensity rain,-3.3836,-57.7186,Hotel Miramar
285,Sur,OM,82.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
286,Nizwa,OM,81.27,broken clouds,22.9333,57.5333,Orient Apartments
291,Kavieng,PG,83.86,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
292,Tuni,IN,76.69,light rain,17.35,82.55,Sai Krishna Lodge
296,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
299,Puerto Cabezas,NI,79.43,overcast clouds,14.0351,-83.3888,Cabaña Caribe
303,Gravelbourg,CA,77.27,few clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
305,Caibarien,CU,81.61,few clouds,22.5206,-79.4669,La Nena
307,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
331,Kavaratti,IN,81.25,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
337,Brownsville,US,82.51,few clouds,25.9018,-97.4975,University Inn & Suites
339,Thoen,TH,78.57,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
341,Amalapuram,IN,77.38,moderate rain,16.5833,82.0167,swayamprabha service apartments
342,Gasa,PS,76.98,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
