City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Sao Joao Dos Patos,BR,-6.495,-43.7022,86.99,28,100,4.23,overcast clouds
166,Krasnokamensk,RU,50.0979,118.0369,44.28,61,1,17.25,clear sky
167,Codrington,AU,-38.2667,141.9667,61.14,58,11,12.01,few clouds
168,Fort Collins,US,40.5853,-105.0844,80.92,28,99,4.94,overcast clouds
169,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,20,11.5,few clouds
170,Vila Velha,BR,-20.3297,-40.2925,73.35,78,75,8.05,broken clouds
171,Faanui,PF,-16.4833,-151.75,79.97,69,3,12.28,clear sky
172,Strezhevoy,RU,60.7333,77.5889,28.38,93,0,6.53,clear sky
173,Gornyak,RU,50.9942,81.4661,27.46,81,10,8.79,clear sky
174,Port Alfred,ZA,-33.5906,26.891,64.33,91,25,19.57,scattered clouds
175,Port Hawkesbury,CA,45.6169,-61.3485,68.59,99,90,7.0,mist
176,Kununurra,AU,-15.7667,128.7333,89.58,40,43,11.5,scattered clouds
177,Peleduy,RU,59.6289,112.7406,36.14,98,100,1.52,light rain
178,Lahij,YE,13.1667,44.5833,86.74,46,11,3.62,few clouds
179,Antofagasta,CL,-23.65,-70.4,56.48,81,38,1.43,scattered clouds
180,Rio Gallegos,AR,-51.6226,-69.2181,44.65,53,40,9.22,scattered clouds
181,Skibbereen,IE,51.55,-9.2667,51.6,75,100,8.86,overcast clouds
182,Saint-Philippe,RE,-21.3585,55.7679,69.35,87,91,16.73,light rain
183,Anito,PH,12.4497,125.2886,84.92,69,100,4.7,overcast clouds
184,Pozo Colorado,PY,-23.4923,-58.7972,83.68,30,2,5.35,clear sky
185,Kasese,UG,0.1833,30.0833,65.07,92,86,3.04,light rain
186,Airai,TL,-8.9266,125.4092,76.01,33,99,2.59,overcast clouds
187,Cabedelo,BR,-6.9811,-34.8339,75.87,84,37,17.72,scattered clouds
188,Sistranda,NO,63.7256,8.834,58.96,87,92,6.85,overcast clouds
189,Lebu,CL,-37.6167,-73.65,48.7,73,5,20.54,clear sky
190,Tessalit,ML,20.1986,1.0114,86.59,15,0,8.84,clear sky
191,Rudnogorsk,RU,57.2639,103.7519,33.71,89,100,3.87,overcast clouds
192,Kendari,ID,-3.945,122.4989,82.96,68,100,2.37,overcast clouds
193,Puri,IN,19.8,85.85,79.32,85,100,13.31,overcast clouds
194,Lasa,IT,46.6166,10.7002,58.03,95,78,4.29,broken clouds
195,Port-Gentil,GA,-0.7193,8.7815,77.61,82,100,9.98,overcast clouds
196,Cidreira,BR,-30.1811,-50.2056,64.8,95,2,9.01,clear sky
197,Ambulu,ID,-8.345,113.6058,80.6,69,98,5.32,overcast clouds
198,Kenai,US,60.5544,-151.2583,48.02,69,4,4.23,clear sky
199,Camapua,BR,-19.5314,-54.0439,78.46,48,33,3.62,light rain
200,Jiuquan,CN,39.7432,98.5174,65.73,21,100,4.63,overcast clouds
201,Khatanga,RU,71.9667,102.5,28.85,91,91,9.35,overcast clouds
202,Marsh Harbour,BS,26.5412,-77.0636,80.08,61,0,12.17,clear sky
203,Yar-Sale,RU,66.8333,70.8333,31.93,86,3,7.0,clear sky
204,Leningradskiy,RU,69.3833,178.4167,29.14,77,100,7.11,overcast clouds
205,Hasaki,JP,35.7333,140.8333,75.29,62,54,17.65,broken clouds
206,Tiksi,RU,71.6872,128.8694,33.62,96,100,7.02,light rain
207,Atar,MR,20.5169,-13.0499,93.81,15,6,4.29,clear sky
208,Labinsk,RU,44.6342,40.7356,55.74,82,100,11.34,light rain
209,Maningrida,AU,-12.0667,134.2667,86.94,54,10,8.03,clear sky
